,,,Val,Val
,,,Best rank,Mean rank
"('parameters', 'Dataset')","('parameters', 'KG pool')","('parameters', 'Corpus input')",,
fb237_v4_ind_uslabeled,original_BytE,,21.0,675.6666666666666
fb237_v4_ind_uslabeled,KG-finetuned,VandR,23.0,725.1666666666666
nell_v1_ind,KG-custom,randomWalks,1.0,354.39444444444445
nell_v1_ind,KG-custom,E,4.0,384.3333333333333
nell_v1_ind,KG-custom,VandR,22.0,407.40555555555557
nell_v1_ind,original_BytE,,99.0,264.75
nell_v1_ind,KG-pretrained,VandR,103.0,420.73333333333335
nell_v1_ind,KG-finetuned,VandR,135.0,439.9916666666667
nell_v2_ind,KG-finetuned,VandR,1.0,345.0083333333333
nell_v2_ind,KG-custom,VandR,4.0,379.3222222222222
nell_v2_ind,KG-custom,E,7.0,438.31111111111113
nell_v2_ind,KG-custom,randomWalks,8.0,428.6
nell_v2_ind,KG-pretrained,VandR,16.0,373.55
nell_v2_ind,original_BytE,,25.0,289.9166666666667
nell_v3_ind,KG-custom,randomWalks,1.0,428.4611111111111
nell_v3_ind,KG-custom,E,3.0,418.89444444444445
nell_v3_ind,KG-custom,VandR,7.0,382.71666666666664
nell_v3_ind,KG-finetuned,VandR,13.0,368.90833333333336
nell_v3_ind,KG-pretrained,VandR,33.0,372.8
nell_v3_ind,original_BytE,,41.0,291.8333333333333
nell_v4_ind,KG-custom,VandR,1.0,371.1777777777778
nell_v4_ind,KG-custom,E,2.0,398.4888888888889
nell_v4_ind,KG-pretrained,VandR,3.0,385.40833333333336
nell_v4_ind,KG-finetuned,VandR,6.0,392.95
nell_v4_ind,KG-custom,randomWalks,10.0,433.6611111111111
nell_v4_ind,original_BytE,,47.0,326.5
